,index,pitax_2019,pitax_ref_2019,pitax_ref_2020,pitax_ref_2021,pitax_ref_2022,pitax_ref_2023,pitax_ref_2024,pitax_ref_2025,pitax_ref_2026,pitax_ref_2027
0,<0,0,0,0,0,0,0,0,0,0,0
1,=0,0,0,0,0,0,0,0,0,0,0
2,0-0.05 m,"18,091","21,404","19,593","24,855","27,122","29,468","31,018","32,657","34,292","36,022"
3,0.05-0.1m,"4,418","6,591","5,931","7,998","9,093","10,266","11,131","12,020","13,023","14,094"
4,0.1-0.15m,"1,955","3,093","2,713","3,755","4,230","4,864","5,283","5,647","6,128","6,615"
5,0.15-0.2m,"1,118","1,859","1,664","2,289","2,519","2,872","3,067","3,344","3,680","4,014"
6,0.2-0.3m,"1,289","2,154","1,914","2,689","3,064","3,353","3,718","4,076","4,305","4,687"
7,0.3-0.4m,796,"1,430","1,261","1,631","1,718","2,060","2,211","2,314","2,606","2,710"
8,0.4-0.5m,427,762,687,"1,120","1,409","1,566","1,478","1,668","1,622","1,838"
9,0.5-1m,"1,056","1,905","1,701","2,350","2,672","3,040","3,403","3,634","4,131","4,409"
10,>1m,"1,735","4,564","4,077","5,439","6,105","6,856","7,441","8,081","8,646","9,354"
11,ALL,"30,886","43,762","39,541","52,124","57,932","64,345","68,751","73,441","78,433","83,744"
