,weight_2019,pitax_2019,total_gross_income_2019,weight_ref_2019,pitax_ref_2019,total_gross_income_ref_2019,weight_ref_2020,pitax_ref_2020,total_gross_income_ref_2020,weight_ref_2021,pitax_ref_2021,total_gross_income_ref_2021,weight_ref_2022,pitax_ref_2022,total_gross_income_ref_2022,weight_ref_2023,pitax_ref_2023,total_gross_income_ref_2023,weight_ref_2024,pitax_ref_2024,total_gross_income_ref_2024,weight_ref_2025,pitax_ref_2025,total_gross_income_ref_2025,weight_ref_2026,pitax_ref_2026,total_gross_income_ref_2026,weight_ref_2027,pitax_ref_2027,total_gross_income_ref_2027,ETR,ETR_ref
0,"16,412.0000",0.0000,9.0000,"16,412.0000",0.0000,9.0000,"16,412.0000",0.0000,8.0000,"16,412.0000",0.0000,10.0000,"16,412.0000",0.0000,11.0000,"16,412.0000",0.0000,11.0000,"16,412.0000",0.0000,12.0000,"16,412.0000",0.0000,13.0000,"16,412.0000",0.0000,13.0000,"16,412.0000",0.0000,14.0000,0.0000,0.0000
1,"16,412.0000",0.0000,47.0000,"16,412.0000",0.0000,47.0000,"16,412.0000",0.0000,44.0000,"16,412.0000",0.0000,53.0000,"16,412.0000",0.0000,58.0000,"16,412.0000",0.0000,62.0000,"16,412.0000",0.0000,65.0000,"16,412.0000",0.0000,68.0000,"16,412.0000",0.0000,72.0000,"16,412.0000",0.0000,76.0000,0.0000,0.0000
2,"16,412.0000",0.0000,106.0000,"16,412.0000",1.0000,106.0000,"16,412.0000",1.0000,99.0000,"16,412.0000",1.0000,120.0000,"16,412.0000",1.0000,130.0000,"16,412.0000",1.0000,140.0000,"16,412.0000",1.0000,148.0000,"16,412.0000",1.0000,155.0000,"16,412.0000",1.0000,163.0000,"16,412.0000",1.0000,171.0000,0.0000,0.0094
3,"16,412.0000",1.0000,171.0000,"16,412.0000",1.0000,171.0000,"16,412.0000",1.0000,159.0000,"16,404.0000",1.0000,194.0000,"16,404.0000",2.0000,209.0000,"16,403.0000",2.0000,226.0000,"16,412.0000",2.0000,237.0000,"16,404.0000",2.0000,249.0000,"16,405.0000",2.0000,261.0000,"16,403.0000",2.0000,274.0000,0.0058,0.0058
4,"16,411.0000",1.0000,223.0000,"16,411.0000",1.0000,223.0000,"16,412.0000",1.0000,208.0000,"16,420.0000",1.0000,253.0000,"16,419.0000",2.0000,274.0000,"16,420.0000",2.0000,296.0000,"16,411.0000",2.0000,310.0000,"16,419.0000",2.0000,326.0000,"16,418.0000",2.0000,342.0000,"16,420.0000",2.0000,359.0000,0.0045,0.0045
5,"16,413.0000",1.0000,282.0000,"16,413.0000",1.0000,282.0000,"16,412.0000",1.0000,262.0000,"16,412.0000",2.0000,320.0000,"16,413.0000",2.0000,345.0000,"16,413.0000",2.0000,373.0000,"16,413.0000",2.0000,391.0000,"16,413.0000",2.0000,411.0000,"16,413.0000",2.0000,432.0000,"16,413.0000",3.0000,453.0000,0.0035,0.0035
6,"16,412.0000",2.0000,350.0000,"16,412.0000",2.0000,350.0000,"16,412.0000",2.0000,325.0000,"16,412.0000",2.0000,397.0000,"16,412.0000",3.0000,429.0000,"16,412.0000",3.0000,463.0000,"16,412.0000",4.0000,486.0000,"16,412.0000",5.0000,510.0000,"16,412.0000",6.0000,536.0000,"16,412.0000",8.0000,563.0000,0.0057,0.0057
7,"16,412.0000",2.0000,411.0000,"16,412.0000",2.0000,411.0000,"16,412.0000",2.0000,382.0000,"16,412.0000",3.0000,466.0000,"16,412.0000",4.0000,504.0000,"16,412.0000",7.0000,544.0000,"16,412.0000",9.0000,571.0000,"16,412.0000",11.0000,600.0000,"16,412.0000",13.0000,630.0000,"16,412.0000",15.0000,661.0000,0.0049,0.0049
8,"16,412.0000",2.0000,463.0000,"16,412.0000",2.0000,463.0000,"16,412.0000",2.0000,431.0000,"16,412.0000",4.0000,526.0000,"16,412.0000",7.0000,568.0000,"16,412.0000",10.0000,613.0000,"16,412.0000",13.0000,644.0000,"16,412.0000",15.0000,676.0000,"16,412.0000",17.0000,710.0000,"16,412.0000",20.0000,745.0000,0.0043,0.0043
9,"16,403.0000",4.0000,519.0000,"16,403.0000",5.0000,519.0000,"16,403.0000",3.0000,483.0000,"16,403.0000",9.0000,589.0000,"16,403.0000",13.0000,636.0000,"16,403.0000",16.0000,687.0000,"16,403.0000",19.0000,721.0000,"16,403.0000",22.0000,757.0000,"16,403.0000",25.0000,795.0000,"16,403.0000",28.0000,835.0000,0.0077,0.0096
10,"16,421.0000",7.0000,571.0000,"16,421.0000",8.0000,571.0000,"16,421.0000",5.0000,531.0000,"16,421.0000",13.0000,648.0000,"16,421.0000",17.0000,700.0000,"16,421.0000",21.0000,756.0000,"16,421.0000",24.0000,794.0000,"16,421.0000",28.0000,833.0000,"16,421.0000",32.0000,875.0000,"16,421.0000",37.0000,919.0000,0.0123,0.0140
11,"16,411.0000",9.0000,617.0000,"16,411.0000",9.0000,617.0000,"16,411.0000",6.0000,574.0000,"16,411.0000",16.0000,700.0000,"16,412.0000",20.0000,756.0000,"16,412.0000",24.0000,817.0000,"16,412.0000",28.0000,858.0000,"16,412.0000",33.0000,900.0000,"16,412.0000",39.0000,945.0000,"16,412.0000",45.0000,993.0000,0.0146,0.0146
12,"16,412.0000",13.0000,664.0000,"16,412.0000",14.0000,664.0000,"16,412.0000",10.0000,617.0000,"16,412.0000",20.0000,753.0000,"16,411.0000",25.0000,813.0000,"16,411.0000",32.0000,878.0000,"16,411.0000",37.0000,922.0000,"16,411.0000",43.0000,968.0000,"16,411.0000",49.0000,"1,017.0000","16,411.0000",56.0000,"1,067.0000",0.0196,0.0211
13,"16,413.0000",16.0000,708.0000,"16,413.0000",17.0000,708.0000,"16,413.0000",13.0000,659.0000,"16,413.0000",24.0000,804.0000,"16,413.0000",30.0000,868.0000,"16,413.0000",38.0000,937.0000,"16,413.0000",44.0000,984.0000,"16,413.0000",51.0000,"1,033.0000","16,413.0000",58.0000,"1,085.0000","16,413.0000",65.0000,"1,139.0000",0.0226,0.0240
14,"16,411.0000",19.0000,752.0000,"16,411.0000",20.0000,752.0000,"16,411.0000",16.0000,700.0000,"16,411.0000",28.0000,854.0000,"16,411.0000",36.0000,922.0000,"16,411.0000",45.0000,996.0000,"16,411.0000",52.0000,"1,045.0000","16,411.0000",59.0000,"1,098.0000","16,411.0000",66.0000,"1,153.0000","16,411.0000",74.0000,"1,210.0000",0.0253,0.0266
15,"16,413.0000",22.0000,796.0000,"16,413.0000",23.0000,796.0000,"16,413.0000",19.0000,740.0000,"16,413.0000",34.0000,903.0000,"16,413.0000",43.0000,976.0000,"16,413.0000",53.0000,"1,054.0000","16,413.0000",60.0000,"1,106.0000","16,413.0000",67.0000,"1,162.0000","16,413.0000",75.0000,"1,220.0000","16,413.0000",83.0000,"1,281.0000",0.0276,0.0289
16,"16,413.0000",26.0000,834.0000,"16,413.0000",27.0000,834.0000,"16,413.0000",22.0000,776.0000,"16,413.0000",40.0000,947.0000,"16,413.0000",50.0000,"1,023.0000","16,413.0000",61.0000,"1,104.0000","16,413.0000",68.0000,"1,160.0000","16,413.0000",76.0000,"1,218.0000","16,413.0000",84.0000,"1,278.0000","16,413.0000",92.0000,"1,342.0000",0.0312,0.0324
17,"16,411.0000",29.0000,867.0000,"16,411.0000",30.0000,867.0000,"16,411.0000",24.0000,806.0000,"16,411.0000",45.0000,984.0000,"16,411.0000",55.0000,"1,062.0000","16,411.0000",67.0000,"1,147.0000","16,411.0000",74.0000,"1,205.0000","16,411.0000",82.0000,"1,265.0000","16,411.0000",91.0000,"1,328.0000","16,411.0000",100.0000,"1,394.0000",0.0334,0.0346
